"week","meantemp","sdtemp_ts","meanprec_ts","sdprec_ts"
2870,5.95,0.00001,0,0.00001
2871,5.95,0.00001,0,0.00001
2872,5.95,0.00001,0,0.00001
2873,5.95,0.00001,0,0.00001
2874,7.82,0.00001,0,0.00001
2875,7.82,0.00001,0,0.00001
2876,7.82,0.00001,0,0.00001
2877,7.82,0.00001,0,0.00001
2878,7.82,0.00001,0,0.00001
2879,11.83,0.00001,0,0.00001
2880,11.83,0.00001,0,0.00001
2881,11.83,0.00001,0,0.00001
2882,11.83,0.00001,0,0.00001
2883,14.54,0.00001,0,0.00001
2884,14.54,0.00001,0,0.00001
2885,14.54,0.00001,0,0.00001
2886,14.54,0.00001,0,0.00001
2887,17.73,0.00001,0,0.00001
2888,17.73,0.00001,0,0.00001
2889,17.73,0.00001,0,0.00001
2890,17.73,0.00001,0,0.00001
2891,17.73,0.00001,0,0.00001
2892,15.5,0.00001,0,0.00001
2893,15.5,0.00001,0,0.00001
2894,15.5,0.00001,0,0.00001
2895,15.5,0.00001,0,0.00001
2896,10.78,0.00001,0,0.00001
2897,10.78,0.00001,0,0.00001
2898,10.78,0.00001,0,0.00001
2899,10.78,0.00001,0,0.00001
2900,6.91,0.00001,0,0.00001
2901,6.91,0.00001,0,0.00001
2902,6.91,0.00001,0,0.00001
2903,6.91,0.00001,0,0.00001
2904,6.91,0.00001,0,0.00001
2905,4.84,0.00001,0,0.00001
2906,4.84,0.00001,0,0.00001
2907,4.84,0.00001,0,0.00001
2908,4.84,0.00001,0,0.00001
2909,1.62,0.00001,0,0.00001
2910,1.62,0.00001,0,0.00001
2911,1.62,0.00001,0,0.00001
2912,1.62,0.00001,0,0.00001
2913,1.16,0.00001,0,0.00001
2914,1.16,0.00001,0,0.00001
2915,1.16,0.00001,0,0.00001
2916,1.16,0.00001,0,0.00001
2917,1.16,0.00001,0,0.00001
2918,1.71,0.00001,0,0.00001
2919,1.71,0.00001,0,0.00001
2920,1.71,0.00001,0,0.00001
2921,1.71,0.00001,0,0.00001
2922,4.79,0.00001,0,0.00001
2923,4.79,0.00001,0,0.00001
2924,4.79,0.00001,0,0.00001
2925,4.79,0.00001,0,0.00001
2926,5.58,0.00001,0,0.00001
