"species","kernel","emass","elong_mean","elong_sd","floron_mean","floron_sd","floroff_mean","floroff_sd","seedon_mean","seedon_sd","seedoff_mean","seedoff_sd","span_mean","span_sd","b0grow_mean","b0grow_sd","b0m_mean","b0m_sd","b0germ_mean","b0germ_sd","maxseedn_mean","maxseedn_sd","maxmass"
"Geranium_pusillum","w",0.001,18,0.6,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,442,14.7333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,525,17.5,5
"Geranium_robertianum","w",0.001,8,0.266666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,78,2.6,5250000000,175000000,1650000000,55000000,1650000000,55000000,5,0.166666666666667,5
"Geum_urbanum","wa",0.001,11,0.366666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1110,37,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,248,8.26666666666667,5
"Gymnadenia_conopsea","wa",0.0001,4,0.133333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,2480,82.6666666666667,1
"Helianthemum_nummularium","w",0.001,10,0.333333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,659,21.9666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,17,0.566666666666667,5
"Heracleum_sphondylium","wa",0.001,6,0.2,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,850,28.3333333333334,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,2,0.0666666666666667,5
"Hieracium_caespitosum","a",0.0003,10,0.333333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,612,20.4,2
"Hieracium_lachenalii","wa",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1088,36.2666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Hieracium_murorum","a",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Hieracium_pilosella","a",0.0003,8,0.266666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,48,1.6,2
"Hippocrepis_comosa","wa",0.001,13,0.433333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,6,0.2,5
"Holcus_lanatus","wa",0.001,8,0.266666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,112,3.73333333333334,5
"Hypericum_perforatum","wa",0.0001,10,0.333333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1222,40.7333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,211,7.03333333333334,1
"Inula_conyzae","wa",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1088,36.2666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Knautia_arvensis","a",0.001,11,0.366666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,58,1.93333333333333,5
"Koelaeria_pyramidata","wa",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1088,36.2666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Lathyrus_pratensis","w",0.001,18,0.6,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,6,0.2,5
"Leontodon_hispidus","a",0.001,10,0.333333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,67,2.23333333333333,5
"Leucanthemum_vulgare","wa",0.001,14,0.466666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,185,6.16666666666667,5
"Linum_catharticum","wa",0.0003,13,0.433333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,237,7.90000000000001,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,10,0.333333333333333,2
"Listera_ovata","wa",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Lolium_perenne","wa",0.001,8,0.266666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,819,27.3,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Lotus_corniculatus","w",0.001,16,0.533333333333334,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1110,37,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,6328,210.933333333333,5
"Medicago_falcata","wa",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1088,36.2666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Medicago_lupulina","w",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,442,14.7333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,1,0.0333333333333333,5
"Melampyrum_arvense","a",0.001,15,0.5,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,78,2.6,5250000000,175000000,1650000000,55000000,1650000000,55000000,4,0.133333333333333,5
"Melampyrum_nemorosum","a",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1088,36.2666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,225,7.5,5
"Melampyrum_sylvaticum","a",0.001,8,0.266666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1088,36.2666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,23,0.766666666666667,5
"Melilotus_alba","w",0.001,7,0.233333333333334,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,87,2.9,5250000000,175000000,1650000000,55000000,1650000000,55000000,2,0.0666666666666667,5
"Melilotus_officinalis","w",0.001,4,0.133333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,84,2.8,5250000000,175000000,1650000000,55000000,1650000000,55000000,2,0.0666666666666667,5
"Mentha_arvensis","wa",0.0003,15,0.5,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,129,4.3,2
"Mentha_verticillata","wa",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1088,36.2666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Myosotis_arvensis","a",0.0003,14,0.466666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,78,2.6,5250000000,175000000,1650000000,55000000,1650000000,55000000,4,0.133333333333333,2
