week	id	location	sp	biomass	fgroup	stage	age	reped	chrm1	chrm2	radius
47	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.9783)	p1	a	0	false	A	A	2
47	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.9567)	p1	a	0	false	A	A	2
47	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0711284)	p1	j	0	false	A	A	0
47	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0711231)	p1	j	0	false	A	A	0
47	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0711249)	p1	j	0	false	A	A	0
48	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.99)	p1	a	0	false	A	A	2
48	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.9685)	p1	a	0	false	A	A	2
48	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0711798)	p1	j	0	false	A	A	0
48	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.071175)	p1	j	0	false	A	A	0
48	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0711759)	p1	j	0	false	A	A	0
49	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>100.002)	p1	a	0	false	A	A	2
49	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.9803)	p1	a	0	false	A	A	2
49	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0712313)	p1	j	0	false	A	A	0
49	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0712257)	p1	j	0	false	A	A	0
49	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.071227)	p1	j	0	false	A	A	0
50	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>100.013)	p1	a	0	false	A	A	2
50	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.9921)	p1	a	0	false	A	A	2
50	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0712832)	p1	j	0	false	A	A	0
50	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0712774)	p1	j	0	false	A	A	0
50	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0712786)	p1	j	0	false	A	A	0
51	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>100.025)	p1	a	0	false	A	A	2
51	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>100.004)	p1	a	0	false	A	A	2
51	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0713359)	p1	j	0	false	A	A	0
51	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0713291)	p1	j	0	false	A	A	0
51	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0713302)	p1	j	0	false	A	A	0
52	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>100.037)	p1	a	0	false	A	A	2
52	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>100.016)	p1	a	0	false	A	A	2
52	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0713884)	p1	j	0	false	A	A	0
52	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0713813)	p1	j	0	false	A	A	0
52	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0713817)	p1	j	0	false	A	A	0
